date,tech,title,description,github,demourl,image,aboutapp
09-02-2023,NLP,Video Transcriptor,"An AI tools which helps to analyze any YouTube video, give the sentiment of the video and suggest description and topics related the content. Lastly, It extract the subtitles from the video by understanding the audio then transcribe it in any language with timestamps and also embed the subtitles into the video",https://github.com/manish-4007/YT-video-Transcription,https://video-transcription-m.streamlit.app/,https://images.unsplash.com/photo-1620712943543-bcc4688e7485?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1965&q=80,https://clipchamp.com/watch/bXpQ70xHVs6
08-10-2023,NLP,PDF Q&A Expert APP,A bot which analyze the single or multiple pdfs as an input and after processing them and answers all the qustions related with the given pdfs. This app utilizes a language model to generate accurate answers to your queries which uses Langchain bind with OpenAI API for processing the pdfs,https://github.com/manish-4007/PDF-QnA-Expert,https://pdf-qna-expert.streamlit.app/,,
3-20-2023,Data Analysis,IPL Data Analysis,"Data Analyis project, Analysis the IPL dataset (2008-2022) and created dashboards using Power BI",https://github.com/manish-4007/IPL-Data-Analysis,,https://images.unsplash.com/photo-1540747913346-19e32dc3e97e?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1905&q=80,
07-04-2023,Machine Learning,Customer Churn Prediction,"In this project, an ML model is built using Support Vector machine which predicts whether the customer churn with the services or not and also treated Imbalanced DataSet and Outliers. Finally, using hyper-parameter tuning increase the performance to 94% ",https://github.com/manish-4007/Customer-Churn-Prediction,,https://images.unsplash.com/photo-1454165804606-c3d57bc86b40?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=2070&q=80,
6-23-2023,NLP,Blog Sentiment Analysis,Scrape all the articles on the Blog site and extract the article's topic and content then perform sentimental analysis on these articles and store the derived score of each article in a spreadsheet.,https://github.com/manish-4007/Blog-Sentiment-Analysis,,,
7-18-2023,Machine Learning,Diamond Price Prediction,"End-to-end project using flask, git, structured wise code (modular coded) and deployed via CI/CD pipeline using AWS.This project helps me better understand how to write industry-level modular coding and enhance the Machine Learning Concepts.",https://github.com/manish-4007/diamond-Price-Prediction,https://diamond-price-prediction-h023.onrender.com/,https://images.unsplash.com/photo-1600119612651-0db31b3a7baa?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=2070&q=80,
05-07-2023,NLP,Trip Planner,"It is a Place Recommendation Engine for all the places in India, search all the places in particular cities, and suppose someone had visited some city/place then this recommendation system recommend best cities/places which are most similar cities/places to the given ones.",https://github.com/manish-4007/Trip-Planner,https://trip-planner-m.streamlit.app/,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1935&q=80,
04-06-2023,Machine Learning,Mobile Price Classification,"This project gives the idea for buying new smartphone whose specifications are must be mentioned before, then it predict the price price range of the phone",https://github.com/manish-4007/Mobile-PriceRange-Classification,,https://images.unsplash.com/photo-1512941937669-90a1b58e7e9c?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=2070&q=80,
3-29-2023,Machine Learning,Math Performance Score Predictor,"This project is written in fully proper and modular way with all requirements,sources and artifacts folder along with this, it has data ingestion, transformation and trainer file for better code representation.",https://github.com/manish-4007/Math-Performance-Score-ML-Project,https://math-performance-score.onrender.com/,https://images.unsplash.com/photo-1534644107580-3a4dbd494a95?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=2070&q=80,
09-12-2022,Machine Learning,Boston House Pricin Prediction ,An ML Model which predict the House Prices with some given parameters,https://github.com/manish-4007/boston-house-pricing,,https://images.unsplash.com/photo-1560518883-ce09059eeffa?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1973&q=80,
6-22-2021,Web Development,Chat app CSS illustration Page,A  fully responsive webpage to advertise the chat app for the clients,https://github.com/manish-4007/Chat-app-Css-,https://manish-4007.github.io/Chat-app-Css-/,,
1-28-2021,Web Development,Social Profile Section,A fully responsive landing page of a Social Profile Section,https://github.com/manish-4007/Socieal-Proof-Section-Webpage,https://manish-4007.github.io/Socieal-Proof-Section-Webpage/,,
1-28-2021,Web Development,Food Ordering Webpage,Fully responsive and work for most of the devices,https://github.com/manish-4007/Food-Ordering-Site,https://manish-4007.github.io/Food-Ordering-Site/,,
10-14-2022,Recommendation System,Place Recommender,"This project is a hybrid recommendation system which is a combination of content-based as well as collaborative-bases recommendation system. It suggests the best popular places if visitor want to decide to visit which places and also recommend similar places based on their past history or similar locations that visitor already visitor visit some locations like historical places, hill stations, beech, parks or any types of places",https://github.com/manish-4007/Movie-Recommender/blob/main/place_recommender.ipynb,,https://images.unsplash.com/photo-1519055548599-6d4d129508c4?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NXx8dHJhdmVsbGluZ3xlbnwwfHwwfHx8MA%3D%3D&auto=format&fit=crop&w=500&q=60,
11-17-2022,Recommendation System,Movie Recommender,A recommendation system project with the help of machine learning and Python programming which is based on collaborative-based recommendation filtering,https://github.com/manish-4007/Movie-Recommender/blob/main/Movie_Recommender.ipynb,,https://images.unsplash.com/photo-1584905066893-7d5c142ba4e1?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1887&q=80,
